transmission,stifle,mean_reach,std_reach,mean_steps
10,10,578.115,211.39413845941897,543.965
10,25,58.76,21.78651876734785,108.665
10,50,27.245,7.335187455000724,55.215
10,75,20.745,5.329162692205972,40.85
10,100,17.65,4.066632513517788,35.035
25,10,1513.76,14.226468289775928,194.435
25,25,590.445,193.04436530238328,223.105
25,50,84.24,33.69810677174609,53.515
25,75,43.375,16.375419841946037,31.65
25,100,32.14,10.484293013837414,23.61
50,10,1589.86,3.4044676529525137,115.455
50,25,1449.055,25.085293998675798,96.985
50,50,622.195,210.04272654629105,103.1
50,75,158.63,66.97912435975854,38.53
50,100,83.045,33.22307895123509,23.295
75,10,1597.9,1.6401219466856727,98.85
75,25,1549.18,9.841117822686607,60.18
75,50,1285.65,69.43016275366205,67.145
75,75,627.15,203.04897808164412,63.0
75,100,233.82,98.75372195517494,30.635
100,10,1599.43,0.8397023282092293,92.385
100,25,1578.855,5.664271797857162,47.15
100,50,1451.355,23.45802581207549,42.6
100,75,1162.565,110.55299984622759,50.735
100,100,616.125,205.1885702835321,42.455
