Run completed at: 2026-01-20 15:11:35
Total time: 5h 25m 38s
Iterations per condition: 10000
CPU cores used: 48

Stochastic Results:
    stifle_chance  transmission_chance  mean_reach   std_reach       sem  ci_95_lower  ci_95_upper  median_reach  min_reach  max_reach  mean_steps  std_steps  reach_fraction  iterations
0               0                100.0   1600.0000    0.000000  0.000000  1600.000000  1600.000000        1600.0       1600       1600   5000.0000   0.000000        1.000000       10000
1              10                100.0   1599.4388    0.770528  0.007705  1599.423698  1599.453902        1600.0       1595       1600     91.3744  12.449254        0.999649       10000
2              20                100.0   1589.9344    3.627783  0.036278  1589.863295  1590.005505        1590.0       1574       1599     54.1084   5.913877        0.993709       10000
3              30                100.0   1562.4293    8.148131  0.081481  1562.269597  1562.589003        1563.0       1523       1588     44.2402   4.464784        0.976518       10000
4              40                100.0   1516.0493   14.485602  0.144856  1515.765382  1516.333218        1517.0       1444       1559     41.8250   4.689688        0.947531       10000
5              50                100.0   1450.6055   24.538380  0.245384  1450.124548  1451.086452        1453.0       1266       1517     42.6912   5.790405        0.906628       10000
6              60                100.0   1363.5088   41.983647  0.419836  1362.685921  1364.331679        1369.0       1060       1467     45.4918   7.699134        0.852193       10000
7              70                100.0   1243.2999   79.043443  0.790434  1241.750649  1244.849151        1258.0        521       1403     49.3471  10.144531        0.777062       10000
8              80                100.0   1069.8224  145.282043  1.452820  1066.974872  1072.669928        1102.0         29       1332     51.9837  12.681503        0.668639       10000
9              90                100.0    848.2294  199.186439  1.991864   844.325346   852.133454         882.5         70       1260     49.5856  13.972759        0.530143       10000
10            100                100.0    627.4339  206.206544  2.062065   623.392252   631.475548         643.0         30       1175     42.8175  14.164232        0.392146       10000
