stifle_chance,mean_steps,std_steps,median_steps,min_steps,max_steps
0,5000.0,0.0,5000.0,5000,5000
10,91.3127,12.214951461791463,89.0,63,177
20,54.0151,5.936749656979732,53.0,39,94
30,44.2594,4.531993549924101,44.0,32,74
40,41.7273,4.633171844226568,41.0,31,71
50,42.627,5.789406076815845,42.0,28,78
60,45.5761,7.833526996476137,44.0,28,102
70,49.5138,10.398385557490172,48.0,19,120
80,51.8338,12.601645039667265,50.0,8,138
90,49.7394,14.264614806000068,48.0,8,139
100,42.8355,14.430518484668998,41.0,8,128
